question_idx,story,query,target_text,proof_state,f_comb,story_edges,edge_types,query_edge,genders,task_split,Assignee,ground_truth
0,"[Clarence]'s granddaughter, [Emily], was busy helping her brother, [Michael], move to college.","('Clarence', 'Michael')",grandson,"[{('Clarence', 'grandson', 'Michael'): [('Clarence', 'granddaughter', 'Emily'), ('Emily', 'brother', 'Michael')]}]",granddaughter-brother,"[(0, 1), (1, 2)]","['granddaughter', 'brother']","(0, 2)","Clarence:male,Emily:female,Michael:male",test,Vidura,"(Clarence, has granddaughter, Emily), (Emily, has grandfather, Clarence), (Emily, has brother, Michael), (Michael, has sister, Emily)"
2,"[Tony] and his sister, [June], went to a sneak preview of the Avengers movie and loved it. [Clarence] has 3 children, and one grandson. The Grandsons name is [Tony]","('Clarence', 'June')",granddaughter,"[{('Clarence', 'granddaughter', 'June'): [('Clarence', 'grandson', 'Tony'), ('Tony', 'sister', 'June')]}]",grandson-sister,"[(0, 1), (1, 2)]","['grandson', 'sister']","(0, 2)","Clarence:male,Tony:male,June:female",test,Vidura,"(Tony, has sister, June), (June, has brother, Tony), (Clarence, has grandson, Tony), (Tony, has grandfather, Clarence)"
5,"[Clarence] went to the museum with his grandson [Jeff]. [Jeff] and [Louise] asked their mother, if they could go play in the pool.","('Clarence', 'Louise')",granddaughter,"[{('Clarence', 'granddaughter', 'Louise'): [('Clarence', 'grandson', 'Jeff'), ('Jeff', 'sister', 'Louise')]}]",grandson-sister,"[(0, 1), (1, 2)]","['grandson', 'sister']","(0, 2)","Clarence:male,Jeff:male,Louise:female",test,Vidura,"(Clarence, has grandson, Jeff), (Jeff, has grandfather, Clarence), (Jeff, has sister, Louise), (Louise, has brother, Jeff)"
7,"[Tony] woke up on his 7th birthday to a surprise present sitting on his night stand. It was from his Grandma [Ashley], and [Tony]'s sister [Charlotte] looked on excitedly as he opened his present.","('Ashley', 'Charlotte')",granddaughter,"[{('Ashley', 'granddaughter', 'Charlotte'): [('Ashley', 'grandson', 'Tony'), ('Tony', 'sister', 'Charlotte')]}]",grandson-sister,"[(0, 1), (1, 2)]","['grandson', 'sister']","(0, 2)","Ashley:female,Tony:male,Charlotte:female",test,Vidura,"(Tony, has grandmother, Ashley), (Ashley, has grandson, Tony), (Tony, has sister, Charlotte), (Charlotte, has brother, Tony)"
1,[Emily] and her granddaughter [Ashley] went to the mall [Michael] likes to visit his sister. Her name is [Emily].,"('Ashley', 'Michael')",grandson,"[{('Ashley', 'grandson', 'Michael'): [('Ashley', 'granddaughter', 'Emily'), ('Emily', 'brother', 'Michael')]}]",granddaughter-brother,"[(0, 1), (1, 2)]","['granddaughter', 'brother']","(0, 2)","Ashley:female,Emily:female,Michael:male",test,Vidura,"(Emily, has granddaughter, Ashley), (Ashley, has grandmother, Emily), (Michael, has sister, Emily), (Emily, has brother, Michael)"
12,"[Clarence] made his Grandmother [Belva] an apple pie for the holiday. [Nicolas] and his sister, [Belva] love it when their grandmother visits because she spoils them. She is coming this week to watch them while their parents are out of town.","('Clarence', 'Nicolas')",grandson,"[{('Clarence', 'grandson', 'Nicolas'): [('Clarence', 'granddaughter', 'Belva'), ('Belva', 'brother', 'Nicolas')]}]",granddaughter-brother,"[(0, 1), (1, 2)]","['granddaughter', 'brother']","(0, 2)","Clarence:male,Belva:female,Nicolas:male",test,Vidura,"(Clarence, has grandmother, Belva), (Belva, has grandson, Clarence), (Nicolas, has sister, Belva), (Belva, has brother, Nicolas)"
39,"[Joshua] 'son, [Joseph], aced his math class and made his father proud. As a female, [Lynn] sometimes had a hard time relating to her husband [Joshua] since he was a male. [Joseph]'s grandmother, [Frances], was prepping for a marathon at age 70!","('Lynn', 'Frances')",mother,"[{('Lynn', 'mother', 'Frances'): [('Lynn', 'son', 'Joseph'), ('Joseph', 'grandmother', 'Frances')]}, {('Lynn', 'son', 'Joseph'): [('Lynn', 'husband', 'Joshua'), ('Joshua', 'son', 'Joseph')]}]",husband-son-grandmother,"[(0, 1), (1, 2), (2, 3)]","['husband', 'son', 'grandmother']","(0, 3)","Lynn:female,Joshua:male,Joseph:male,Frances:female",test,Vidura,"(Joshua, has son, Joseph), (Joseph, has father, Joshua), (Lynn, has husband, Joshua), (Joshua, has wife, Lynn), (Joseph, has grandmother, Frances), (Frances, has grandson, Joseph)"
42,"[David] fixed her husband [Hugh] dinner and then they watched a movie they rented. [Frances] took her grandson, [Michael], to see his dad, [Hugh].","('David', 'Frances')",mother,"[{('David', 'mother', 'Frances'): [('David', 'son', 'Michael'), ('Michael', 'grandmother', 'Frances')]}, {('David', 'son', 'Michael'): [('David', 'husband', 'Hugh'), ('Hugh', 'son', 'Michael')]}]",husband-son-grandmother,"[(0, 1), (1, 2), (2, 3)]","['husband', 'son', 'grandmother']","(0, 3)","David:female,Hugh:male,Michael:male,Frances:female",test,Vidura,"(David, has husband, Hugh), (Hugh, has wife, David), (Frances, has grandson, Michael), (Michael, has grandmother, Frances), (Michael, has father, Hugh), (Hugh, has son, Michael)"
40,"[Lynn] was always arguing with her mother's husband [James]. [Lynn] asked her daughter, [Felicia], if she would like to go to a movie with her on Saturday night. [Felicia] was excited because today she was going to the zoo with her uncle [Francisco].","('James', 'Francisco')",son,"[{('James', 'son', 'Francisco'): [('James', 'daughter', 'Lynn'), ('Lynn', 'brother', 'Francisco')]}, {('Lynn', 'brother', 'Francisco'): [('Lynn', 'daughter', 'Felicia'), ('Felicia', 'uncle', 'Francisco')]}]",daughter-daughter-uncle,"[(0, 1), (1, 2), (2, 3)]","['daughter', 'daughter', 'uncle']","(0, 3)","James:male,Lynn:female,Felicia:female,Francisco:male",test,Vidura,"(Lynn, has father, James), (James, has daughter, Lynn), (Lynn, has daughter, Felicia), (Felicia, has mother, Lynn), (Felicia, has uncle, Francisco), (Francisco, has niece, Felicia)"
41,"[James] was lucky to have an incredibly close relationship with his grandson, [Joseph]. [Lena] wanted to visit an art museum, so she asked her father, [James] to take her. [Lynn] and her son [Joseph] went out to lunch together yesterday.","('Lynn', 'Lena')",sister,"[{('Lynn', 'sister', 'Lena'): [('Lynn', 'father', 'James'), ('James', 'daughter', 'Lena')]}, {('Lynn', 'father', 'James'): [('Lynn', 'son', 'Joseph'), ('Joseph', 'grandfather', 'James')]}]",son-grandfather-daughter,"[(0, 1), (1, 2), (2, 3)]","['son', 'grandfather', 'daughter']","(0, 3)","Lynn:female,Joseph:male,James:male,Lena:female",test,Vidura,"(James, has grandson, Joseph), (Joseph, has grandfather, James), (Lena, has father, James), (James, has daughter, Lena), (Lynn, has son, Joseph), (Joseph, has mother, Lynn)"
140,"[Vanetta] was always arguing with her mother's husband [Hugh]. [Hugh] took his favorite son [James] to a baseball game where he caught a foul ball as a souvenir. [Frances], a female, took her husband who is a male, [James], out for lunch.","('Frances', 'Vanetta')",granddaughter,"[{('Frances', 'granddaughter', 'Vanetta'): [('Frances', 'son', 'Hugh'), ('Hugh', 'daughter', 'Vanetta')]}, {('Frances', 'son', 'Hugh'): [('Frances', 'husband', 'James'), ('James', 'son', 'Hugh')]}]",husband-son-daughter,"[(0, 1), (1, 2), (2, 3)]","['husband', 'son', 'daughter']","(0, 3)","Frances:female,James:male,Hugh:male,Vanetta:female",test,Vidura,"(Vanetta, has father, Hugh), (Hugh, has daughter, Vanetta), (Hugh, has son, James), (James, has father, Hugh), (Frances, has husband, James), (James, has wife, Frances)"
38,"[Don] got his son, [Joshua], a car for his birthday. [Don] loves talking to his grandfather [James] on the phone. [James] took his daughter, [Cindy], to a baseball game.","('Joshua', 'Cindy')",sister,"[{('Joshua', 'sister', 'Cindy'): [('Joshua', 'father', 'James'), ('James', 'daughter', 'Cindy')]}, {('Joshua', 'father', 'James'): [('Joshua', 'son', 'Don'), ('Don', 'grandfather', 'James')]}]",son-grandfather-daughter,"[(0, 1), (1, 2), (2, 3)]","['son', 'grandfather', 'daughter']","(0, 3)","Joshua:male,Don:male,James:male,Cindy:female",test,Vidura,"(Don, has son, Joshua), (Joshua, has father, Don), (Don, has grandfather, James), (James, has grandson, Don), (James, has daughter, Cindy), (Cindy, has father, James)"
46,"[Tina] went to dinner with her daughter [Lena]. They then went to the park afterwards. [Frances] loves her son [Hugh] very much. He loves her, too. [Tina] asked her mother [Frances] if she could go outside and play with her friends.","('Lena', 'Hugh')",brother,"[{('Lena', 'brother', 'Hugh'): [('Lena', 'mother', 'Frances'), ('Frances', 'son', 'Hugh')]}, {('Lena', 'mother', 'Frances'): [('Lena', 'daughter', 'Tina'), ('Tina', 'grandmother', 'Frances')]}]",daughter-grandmother-son,"[(0, 1), (1, 2), (2, 3)]","['daughter', 'grandmother', 'son']","(0, 3)","Lena:female,Tina:female,Frances:female,Hugh:male",test,Vidura,"(Tina, has daughter, Lena), (Lena, has mother, Tina), (Frances, has son, Hugh), (Hugh, has mother, Frances), (Tina, has mother, Frances), (Frances, has daughter, Tina)"
146,"[Bernardo]'s father, [Antonio], and grandfather, [Harold], went hiking during the first weekend of spring. [Antonio] took his mother [Shantel] to the bakery. [Shantel] wanted to buy her daughter [Marie] a cake.","('Marie', 'Harold')",father,"[{('Marie', 'father', 'Harold'): [('Marie', 'brother', 'Antonio'), ('Antonio', 'father', 'Harold')]}, {('Marie', 'brother', 'Antonio'): [('Marie', 'mother', 'Shantel'), ('Shantel', 'son', 'Antonio')]}, {('Antonio', 'father', 'Harold'): [('Antonio', 'son', 'Bernardo'), ('Bernardo', 'grandfather', 'Harold')]}]",mother-son-son-grandfather,"[(0, 1), (1, 2), (2, 3), (3, 4)]","['mother', 'son', 'son', 'grandfather']","(0, 4)","Marie:female,Shantel:female,Antonio:male,Bernardo:male,Harold:male",test,Vidura,"(Bernardo, has father, Antonio), (Antonio, has son, Bernardo), (Bernardo, has grandfather, Harold), (Harold, has grandson, Bernardo), (Antonio, has mother, Shantel), (Shantel, has son, Antonio), (Shantel, has daughter, Marie), (Marie, has mother, Shantel)"
147,"[Antonio] took his son [Kevin] out for ice cream. [Pedro]'s mother, [Shantel], was disappointed that he failed his math class [Harold] and his son [Antonio] went to the cinema together. [Pedro] got his son, [Harold], a car for his birthday.","('Kevin', 'Shantel')",grandmother,"[{('Kevin', 'grandmother', 'Shantel'): [('Kevin', 'father', 'Antonio'), ('Antonio', 'mother', 'Shantel')]}, {('Antonio', 'mother', 'Shantel'): [('Antonio', 'brother', 'Pedro'), ('Pedro', 'mother', 'Shantel')]}, {('Antonio', 'brother', 'Pedro'): [('Antonio', 'father', 'Harold'), ('Harold', 'son', 'Pedro')]}]",father-father-son-mother,"[(0, 1), (1, 2), (2, 3), (3, 4)]","['father', 'father', 'son', 'mother']","(0, 4)","Kevin:male,Antonio:male,Harold:male,Pedro:male,Shantel:female",test,Vidura,"(Antonio, has son, Kevin), (Kevin, has father, Antonio), (Pedro, has mother, Shantel), (Shantel, has son, Pedro), (Harold, has son, Antonio), (Antonio, has father, Harold), (Pedro, has son, Harold), (Harold, has father, Pedro)"
148,"[Shantel] made dinner for her husband [Harold]. [Shantel] planned a birthday party for her grandson, [Wayne]. [Shantel] became concerned when she had n't heard from her husband [Harold] all day. [Nicole] and [Wayne] are siblings who are enjoying lunch together.","('Shantel', 'Nicole')",granddaughter,"[{('Shantel', 'granddaughter', 'Nicole'): [('Shantel', 'husband', 'Harold'), ('Harold', 'granddaughter', 'Nicole')]}, {('Harold', 'granddaughter', 'Nicole'): [('Harold', 'grandson', 'Wayne'), ('Wayne', 'sister', 'Nicole')]}, {('Harold', 'grandson', 'Wayne'): [('Harold', 'wife', 'Shantel'), ('Shantel', 'grandson', 'Wayne')]}]",husband-wife-grandson-sister,"[(0, 1), (1, 0), (0, 2), (2, 3)]","['husband', 'wife', 'grandson', 'sister']","(0, 3)","Shantel:female,Harold:male,Wayne:male,Nicole:female",test,Vidura,"(Shantel, has husband, Harold), (Harold, has wife, Shantel), (Shantel, has grandson, Wayne), (Wayne, has grandmother, Shantel), (Nicole, has brother, Wayne), (Wayne, has sister, Nicole)"
149,"[Pedro]'s mother, [Shantel], told him he was in trouble. Her son [Louis] had told her that [Pedro] had been stealing from her purse. [Samuel]'s father, [Louis], and grandfather, [Harold], went hiking during the first weekend of spring.","('Pedro', 'Harold')",father,"[{('Pedro', 'father', 'Harold'): [('Pedro', 'brother', 'Louis'), ('Louis', 'father', 'Harold')]}, {('Louis', 'father', 'Harold'): [('Louis', 'son', 'Samuel'), ('Samuel', 'grandfather', 'Harold')]}, {('Pedro', 'brother', 'Louis'): [('Pedro', 'mother', 'Shantel'), ('Shantel', 'son', 'Louis')]}]",mother-son-son-grandfather,"[(0, 1), (1, 2), (2, 3), (3, 4)]","['mother', 'son', 'son', 'grandfather']","(0, 4)","Pedro:male,Shantel:female,Louis:male,Samuel:male,Harold:male",test,Vidura,"(Pedro, has mother, Shantel), (Shantel, has son, Pedro), (Louis, has mother, Shantel), (Shantel, has son, Louis), (Samuel, has father, Louis), (Louis, has son, Samuel), (Samuel, has grandfather, Harold), (Harold, has grandson, Samuel)"
166,"[Robert] and his brother [Antonio] played harmonicas together. [Robert]'s daughter [Michelle] loved it. [Marie] and her daughter [Michelle] went to see a movie yesterday and then got ice cream afterwards. [Marie] just had a baby and presented the baby proudly to the new maternal grandmother, [Shantel].","('Antonio', 'Shantel')",mother,"[{('Antonio', 'mother', 'Shantel'): [('Antonio', 'brother', 'Robert'), ('Robert', 'mother', 'Shantel')]}, {('Robert', 'mother', 'Shantel'): [('Robert', 'daughter', 'Michelle'), ('Michelle', 'grandmother', 'Shantel')]}, {('Michelle', 'grandmother', 'Shantel'): [('Michelle', 'mother', 'Marie'), ('Marie', 'mother', 'Shantel')]}]",brother-daughter-mother-mother,"[(0, 1), (1, 2), (2, 3), (3, 4)]","['brother', 'daughter', 'mother', 'mother']","(0, 4)","Antonio:male,Robert:male,Michelle:female,Marie:female,Shantel:female",test,Vidura,"(Robert, has brother, Antonio), (Antonio, has brother, Robert), (Robert, has daughter, Michelle), (Michelle, has father, Robert), (Marie, has daughter, Michelle), (Michelle, has mother, Marie), (Marie, has mother, Shantel), (Shantel, has daughter, Marie)"
184,"[Harold] was so excited to surprise his son, [Louis], with the tickets to the playoffs. [Louis] bought tickets for him to see the game with his nephew, [Mario]. [Robert] asked his wife [Marie] if she had any news about the family. [Marie] mentioned that her son, [Mario], got straight A's this semester at college.","('Robert', 'Harold')",father,"[{('Robert', 'father', 'Harold'): [('Robert', 'brother', 'Louis'), ('Louis', 'father', 'Harold')]}, {('Robert', 'brother', 'Louis'): [('Robert', 'son', 'Mario'), ('Mario', 'uncle', 'Louis')]}, {('Robert', 'son', 'Mario'): [('Robert', 'wife', 'Marie'), ('Marie', 'son', 'Mario')]}]",wife-son-uncle-father,"[(0, 1), (1, 2), (2, 3), (3, 4)]","['wife', 'son', 'uncle', 'father']","(0, 4)","Robert:male,Marie:female,Mario:male,Louis:male,Harold:male",test,Vidura,"(Harold, has son, Louis), (Louis, has father, Harold), (Louis, has nephew, Mario), (Mario, has uncle, Louis), (Robert, has wife, Marie), (Marie, has husband, Robert), (Marie, has son, Mario), (Mario, has mother, Marie)"
145,"[Nicole]'s grandfather, [Harold], accompanied her to the basketball match [Beverly] went car shopping with her husband [Louis] and her daughter [Nicole]. [Harold] bought a new dress for his daughter [Marie].","('Louis', 'Marie')",sister,"[{('Louis', 'sister', 'Marie'): [('Louis', 'father', 'Harold'), ('Harold', 'daughter', 'Marie')]}, {('Louis', 'father', 'Harold'): [('Louis', 'daughter', 'Nicole'), ('Nicole', 'grandfather', 'Harold')]}, {('Louis', 'daughter', 'Nicole'): [('Louis', 'wife', 'Beverly'), ('Beverly', 'daughter', 'Nicole')]}]",wife-daughter-grandfather-daughter,"[(0, 1), (1, 2), (2, 3), (3, 4)]","['wife', 'daughter', 'grandfather', 'daughter']","(0, 4)","Louis:male,Beverly:female,Nicole:female,Harold:male,Marie:female",test,Vidura,"(Nicole, has grandfather, Harold), (Harold, has granddaughter, Nicole), (Beverly, has husband, Louis), (Louis, has wife, Beverly), (Beverly, has daughter, Nicole), (Nicole, has mother, Beverly), (Harold, has daughter, Marie), (Marie, has father, Harold)"
